epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1368.73,0.78058,0.56833,1.02353,0.5,0.44584,0.42315,0.32919,1.39855,2.38202,1.48452,0.000191928,0.000191928,0.000191928
81,1385.6,0.76489,0.56393,1.02294,0.48638,0.492,0.44144,0.34198,1.38846,2.41627,1.47933,0.000183855,0.000183855,0.000183855
82,1402.56,0.77632,0.56821,1.02542,0.47191,0.48631,0.43121,0.33722,1.41119,2.505,1.484,0.000175903,0.000175903,0.000175903
83,1419.46,0.76468,0.56006,1.02336,0.43622,0.50938,0.42671,0.33437,1.38644,2.38145,1.4562,0.000168078,0.000168078,0.000168078
84,1436.67,0.76878,0.55507,1.0222,0.43233,0.49103,0.42745,0.33127,1.41043,2.46362,1.47155,0.000160385,0.000160385,0.000160385
85,1453.73,0.76215,0.54508,1.01546,0.52599,0.42805,0.42904,0.33592,1.40207,2.45984,1.48734,0.000152829,0.000152829,0.000152829
86,1470.84,0.7534,0.54385,1.01054,0.51517,0.45338,0.43496,0.33819,1.40513,2.47961,1.48781,0.000145415,0.000145415,0.000145415
87,1487.85,0.74406,0.54143,1.00844,0.42041,0.47063,0.40443,0.31726,1.40662,2.47408,1.47181,0.000138149,0.000138149,0.000138149
88,1504.91,0.74697,0.53319,1.00357,0.48067,0.45466,0.42978,0.33991,1.4255,2.54197,1.48669,0.000131036,0.000131036,0.000131036
89,1521.88,0.7384,0.53196,1.00847,0.49072,0.45506,0.43357,0.33968,1.42269,2.51549,1.51564,0.000124079,0.000124079,0.000124079
