epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,1786.23,0.81161,0.76123,1.07943,0.38031,0.4615,0.36226,0.26096,1.46072,2.54258,1.58432,4.99697e-05,4.99697e-05,4.99697e-05
103,1803.57,0.81257,0.75729,1.07911,0.38322,0.47023,0.36247,0.26315,1.45709,2.5426,1.5844,4.56616e-05,4.56616e-05,4.56616e-05
104,1821.03,0.80399,0.74671,1.07457,0.39386,0.45433,0.36178,0.26347,1.45754,2.54846,1.58499,4.15693e-05,4.15693e-05,4.15693e-05
105,1838.42,0.80026,0.75049,1.07353,0.40089,0.45446,0.36348,0.2639,1.45795,2.55616,1.58745,3.76956e-05,3.76956e-05,3.76956e-05
106,1855.66,0.81039,0.75008,1.07432,0.39202,0.47314,0.36491,0.26549,1.4604,2.55093,1.59109,3.40433e-05,3.40433e-05,3.40433e-05
107,1872.46,0.80398,0.74466,1.07803,0.39574,0.46355,0.36395,0.26396,1.46104,2.54829,1.59191,3.06147e-05,3.06147e-05,3.06147e-05
108,1888.86,0.79779,0.74056,1.07063,0.39274,0.47339,0.36302,0.26412,1.46132,2.54673,1.59237,2.74122e-05,2.74122e-05,2.74122e-05
109,1906.46,0.80605,0.7462,1.07513,0.39025,0.46844,0.3618,0.2616,1.45989,2.54712,1.59332,2.44381e-05,2.44381e-05,2.44381e-05
110,1923.77,0.80104,0.73764,1.07147,0.38949,0.46595,0.36298,0.26187,1.45584,2.5505,1.58799,2.16943e-05,2.16943e-05,2.16943e-05
111,1943.45,0.79287,0.7285,1.06448,0.38371,0.46967,0.36245,0.26214,1.45544,2.55433,1.58927,1.91828e-05,1.91828e-05,1.91828e-05
112,1961.15,0.80024,0.74071,1.07438,0.38929,0.44625,0.35978,0.26031,1.45662,2.55646,1.59149,1.69053e-05,1.69053e-05,1.69053e-05
113,1978.81,0.78725,0.73216,1.06707,0.39227,0.45179,0.36015,0.26068,1.46074,2.55684,1.59759,1.48633e-05,1.48633e-05,1.48633e-05
114,1996.57,0.79633,0.73411,1.07218,0.38452,0.4535,0.35795,0.25875,1.46191,2.56472,1.59791,1.30582e-05,1.30582e-05,1.30582e-05
115,2014.3,0.7924,0.73108,1.07174,0.3824,0.46429,0.3598,0.26127,1.46021,2.56312,1.5946,1.14913e-05,1.14913e-05,1.14913e-05
116,2031.59,0.79428,0.7262,1.06503,0.38348,0.46063,0.35835,0.25994,1.45944,2.56529,1.59382,1.01636e-05,1.01636e-05,1.01636e-05
117,2049.2,0.79259,0.72658,1.06446,0.3842,0.46092,0.35747,0.25803,1.46259,2.56398,1.59785,9.07613e-06,9.07613e-06,9.07613e-06
118,2066.43,0.78766,0.72289,1.06484,0.38456,0.45957,0.3568,0.25773,1.46268,2.56658,1.59716,8.22951e-06,8.22951e-06,8.22951e-06
119,2084.29,0.78996,0.72615,1.06718,0.38567,0.45864,0.35799,0.25871,1.46302,2.56773,1.5979,7.62436e-06,7.62436e-06,7.62436e-06
120,2101.59,0.79104,0.72381,1.06876,0.38934,0.45591,0.35691,0.25754,1.4622,2.56628,1.59823,7.26111e-06,7.26111e-06,7.26111e-06
